,year,city,country,avg_temp
6543,1972,Bangalore,India,25.22
6544,1973,Bangalore,India,25.4
6545,1974,Bangalore,India,24.94
6546,1975,Bangalore,India,24.86
6547,1976,Bangalore,India,25.13
6548,1977,Bangalore,India,25.2
6549,1978,Bangalore,India,25.07
6550,1979,Bangalore,India,25.44
6551,1980,Bangalore,India,25.45
6552,1981,Bangalore,India,25.17
6553,1982,Bangalore,India,25.42
6554,1983,Bangalore,India,25.59
6555,1984,Bangalore,India,25.08
6556,1985,Bangalore,India,25.31
6557,1986,Bangalore,India,25.51
6558,1987,Bangalore,India,25.81
6559,1988,Bangalore,India,25.5
6560,1989,Bangalore,India,25.2
6561,1990,Bangalore,India,25.25
6562,1991,Bangalore,India,25.49
6563,1992,Bangalore,India,25.16
6564,1993,Bangalore,India,25.22
6565,1994,Bangalore,India,25.22
6566,1995,Bangalore,India,25.44
6567,1996,Bangalore,India,25.41
6568,1997,Bangalore,India,25.68
6569,1998,Bangalore,India,26.01
6570,1999,Bangalore,India,25.29
6571,2000,Bangalore,India,25.34
6572,2001,Bangalore,India,25.53
6573,2002,Bangalore,India,25.76
6574,2003,Bangalore,India,25.92
6575,2004,Bangalore,India,25.25
6576,2005,Bangalore,India,25.48
6577,2006,Bangalore,India,25.42
6578,2007,Bangalore,India,25.46
6579,2008,Bangalore,India,25.35
6580,2009,Bangalore,India,25.73
6581,2010,Bangalore,India,25.71
6582,2011,Bangalore,India,25.36
6583,2012,Bangalore,India,26.04
6584,2013,Bangalore,India,26.61
